SE,Origem,Objeto,Prazo,Perigoso,Carga,Situacao
PR,80230970 - CTCE CURITIBA,OY635200233BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,OY635200220BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,OY635200216BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,OY635200264BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,OY635200247BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,TJ439996256BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,TJ440048890BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,OY635200255BR,09/02/2026 23:59:59, ,URG,Pendente
PR,80230970 - CTCE CURITIBA,AB986636706BR,11/02/2026 23:59:59, ,URG,Pendente
PR,86066970 - CTCE LONDRINA,AB984793275BR,09/02/2026 23:59:59, ,URG,Pendente
PR,86066970 - CTCE LONDRINA,AB990357915BR,06/02/2026 23:59:59, ,URG,Pendente
PR,86066970 - CTCE LONDRINA,AB969692124BR,, ,URG,Pendente
